id,empresa_id,camada,encontrado,evidencia,fonte_url,checado_em,publicado_em
1,5,gupy_vagas,false,,https://dna.gupy.io,2026-06-28 11:45:42.52183+00,
2,7,gupy_vagas,true,Cientista de Dados Pleno (Vaga Mista),https://domo.gupy.io/job/11438042,2026-06-28 11:45:45.934747+00,
3,7,gupy_vagas,true,Engenheiro de Dados Pleno (Vaga Mista),https://domo.gupy.io/job/10997175,2026-06-28 11:45:46.261331+00,
4,17,gupy_vagas,false,,https://shopper.gupy.io,2026-06-28 11:45:49.091379+00,
5,23,gupy_vagas,true,"Analista Analytics Pl I Vaga Exclusiva para Profissionais com Deficiência ",https://vivo.gupy.io/job/11429103,2026-06-28 11:45:52.463298+00,
6,23,gupy_vagas,true,Analista Big Data Jr,https://vivo.gupy.io/job/11429298,2026-06-28 11:45:52.668126+00,
7,23,gupy_vagas,true,Analista Marketing Sr (Planejamento e Analytics) - Exclusiva para Pretos e Pardos,https://vivo.gupy.io/job/11553540,2026-06-28 11:45:52.86245+00,
8,23,gupy_vagas,true,BANCO DE TALENTOS | Planejamento Comercial; Marketing; Cientista de Dados |  Exclusivo para Pessoas com Deficiências e para pessoas pretas e pardas,https://vivo.gupy.io/job/11079424,2026-06-28 11:45:53.074413+00,
9,23,gupy_vagas,true,Especialista Inteligência Artificial,https://vivo.gupy.io/job/11535429,2026-06-28 11:45:53.311804+00,
10,23,gupy_vagas,true,Especialista Inteligência Artificial,https://vivo.gupy.io/job/11493927,2026-06-28 11:45:53.576862+00,
11,23,gupy_vagas,true,Líder Técnico Funcional – Dados Martech (Consultor),https://vivo.gupy.io/job/11428563,2026-06-28 11:45:53.844976+00,
12,13,ecossistema,false,,,2026-06-28 11:46:08.127525+00,
13,1,ecossistema,false,,,2026-06-28 11:46:15.76155+00,
14,2,ecossistema,false,,,2026-06-28 11:46:21.950843+00,
15,3,ecossistema,false,,,2026-06-28 11:46:28.797825+00,
16,4,ecossistema,false,,,2026-06-28 11:46:35.059739+00,
17,6,ecossistema,false,,,2026-06-28 11:46:41.317178+00,
18,8,ecossistema,false,,,2026-06-28 11:46:47.582655+00,
19,9,ecossistema,false,,,2026-06-28 11:46:54.487941+00,
20,10,ecossistema,false,,,2026-06-28 11:47:01.348938+00,
21,11,ecossistema,false,,,2026-06-28 11:47:08.352482+00,
22,12,ecossistema,false,,,2026-06-28 11:47:14.866449+00,
23,14,ecossistema,false,,,2026-06-28 11:47:21.089525+00,
24,15,ecossistema,false,,,2026-06-28 11:47:27.208351+00,
25,16,ecossistema,false,,,2026-06-28 11:47:34.016491+00,
26,18,ecossistema,false,,,2026-06-28 11:47:40.159821+00,
27,19,ecossistema,false,,,2026-06-28 11:47:47.253096+00,
28,20,ecossistema,false,,,2026-06-28 11:47:53.603328+00,
29,21,ecossistema,false,,,2026-06-28 11:47:59.957264+00,
30,22,ecossistema,false,,,2026-06-28 11:48:06.880531+00,
31,24,ecossistema,false,,,2026-06-28 11:48:13.943927+00,
32,25,ecossistema,false,,,2026-06-28 11:48:21.022285+00,
33,5,ecossistema,false,,,2026-06-28 11:48:27.963479+00,
34,7,ecossistema,false,,,2026-06-28 11:48:34.878536+00,
35,1,institucional,true,"...Nós 50+1 Blog Humberger Toggle Menu Fazer Login Gerir marketing e eventos em um cenário complexo e fragmentado exige novos modelos. A BPool organiza esse ecossistema, permitindo que grandes marcas se con...",https://bpool.co/,2026-06-28 11:51:31.620255+00,
36,1,institucional,true,"...Nós 50+1 Blog Humberger Toggle Menu Fazer Login Gerir marketing e eventos em um cenário complexo e fragmentado exige novos modelos. A BPool organiza esse ecossistema, permitindo que grandes marcas se con...",https://bpool.co/,2026-06-28 11:53:33.056473+00,
37,3,institucional,true,...de 30 minutos por dia para ter esses mesmos resultados extraordinários. ALESSANDRA JANIQUES Aline Braga Andreza Kenny Bruna Motta Carolina Medon Cristina Amaral Cynthia Marquim Gabi de Melo Gabi Loubach...,https://boom.com.br/,2026-06-28 11:53:39.998972+00,
38,4,institucional,false,,https://celero.com.br,2026-06-28 11:54:10.750928+00,
39,6,institucional,false,,https://daki.io,2026-06-28 11:55:09.783658+00,
40,8,institucional,false,,https://helion.com.br,2026-06-28 11:55:59.44921+00,
41,9,institucional,true,"...d copy routing. We sign on our side with KMS so your trades land the same block as the whale's. DefiLlama verified Self-custody, verified on-chain Your funds, your keys. Our FeeCollector contract is open-s...",https://kalshi.io/,2026-06-28 11:56:04.822263+00,
42,10,institucional,true,...Preto Red Rojo Roxo Silver Verde Vermelho White Buscar por filiais Arena Santo André Atibaia Bauru Bragança Paulista Campinas Campinas Imperatriz Embu das Artes Em trânsito Flash Paulista Flash Sorocaba...,https://kavak.com.br/,2026-06-28 11:56:09.680358+00,
43,11,institucional,false,,https://loggi.com,2026-06-28 11:58:43.040712+00,
44,12,institucional,true,"...são, acelere o crescimento, conquiste resultados tangíveis com análises inteligentes e com o uso da inteligência artificial. Visualizar IA IA Acelere sua produtividade, transforme o ciclo da sua área de desenvolvimento inco...",https://nava.com.br/,2026-06-28 11:59:12.97706+00,
45,14,institucional,false,,https://srmventures.com.br,2026-06-28 12:00:38.16857+00,
46,1,institucional,true,"...Nós 50+1 Blog Humberger Toggle Menu Fazer Login Gerir marketing e eventos em um cenário complexo e fragmentado exige novos modelos. A BPool organiza esse ecossistema, permitindo que grandes marcas se con...",https://bpool.co/,2026-06-28 12:09:19.941673+00,
47,3,institucional,false,,https://boom.com.br,2026-06-28 12:10:11.321808+00,
48,4,institucional,false,,https://celero.com.br,2026-06-28 12:10:18.107057+00,
49,6,institucional,false,,https://daki.io,2026-06-28 12:10:30.78021+00,
50,8,institucional,false,,https://helion.com.br,2026-06-28 12:11:19.553367+00,
51,9,institucional,true,"...d copy routing. We sign on our side with KMS so your trades land the same block as the whale's. DefiLlama verified Self-custody, verified on-chain Your funds, your keys. Our FeeCollector contract is open-s...",https://kalshi.io/,2026-06-28 12:11:25.181777+00,
52,10,institucional,true,...Preto Red Rojo Roxo Silver Verde Vermelho White Buscar por filiais Arena Santo André Atibaia Bauru Bragança Paulista Campinas Campinas Imperatriz Embu das Artes Em trânsito Flash Paulista Flash Sorocaba...,https://kavak.com.br/,2026-06-28 12:11:31.840863+00,
53,11,institucional,false,,https://loggi.com,2026-06-28 12:12:07.317577+00,
54,12,institucional,false,,https://nava.com.br,2026-06-28 12:12:29.580919+00,
55,14,institucional,false,,https://srmventures.com.br,2026-06-28 12:13:54.772274+00,
